Comment,Designator,Footprint,LCSC Part #
100nF,"C1,C4",C_0805_2012Metric,C1525
10uF,"C2,C3",C_0805_2012Metric,C15850
1k,"R3,R4,R5",R_0805_2012Metric,C17513
3V3_OUT,J3,PinHeader_1x02_P2.54mm_Vertical,
5.1k,"R1,R2",R_0805_2012Metric,C23186
500mA,F1,Fuse_1206_3216Metric,C20743
5V_OUT,J2,PinHeader_1x02_P2.54mm_Vertical,
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
Blue,D2,LED_0805_2012Metric,C2293
CH340C,U1,SOIC-16_3.9x9.9mm_P1.27mm,C84681
Green,D1,LED_0805_2012Metric,C2290
POWER_SW,SW1,SW_SPDT_PCM12,C318884
TYPE-C-16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C668624
UART,J4,PinHeader_1x05_P2.54mm_Vertical,
Yellow,D3,LED_0805_2012Metric,C2296
