Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R2,5.1k,R_0805_2012Metric,113.0000,-120.5000,90.0,Top
C3,10uF,C_0805_2012Metric,139.0000,-108.5000,90.0,Top
D3,Yellow,LED_0805_2012Metric,142.5000,-121.5000,0.0,Top
R3,1k,R_0805_2012Metric,138.5000,-117.0000,90.0,Top
J1,TYPE-C-16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,105.5000,-116.9400,0.0,Top
C4,100nF,C_0805_2012Metric,123.5000,-127.0000,90.0,Top
J4,UART,PinHeader_1x05_P2.54mm_Vertical,152.0000,-127.0800,0.0,Top
R4,1k,R_0805_2012Metric,142.5000,-117.0000,90.0,Top
R5,1k,R_0805_2012Metric,123.0000,-111.0000,90.0,Top
J2,5V_OUT,PinHeader_1x02_P2.54mm_Vertical,152.0000,-107.7750,0.0,Top
SW1,POWER_SW,SW_SPDT_PCM12,116.0000,-106.9750,0.0,Top
U2,AMS1117-3.3,SOT-223-3_TabPin2,133.0000,-108.5000,0.0,Top
J3,3V3_OUT,PinHeader_1x02_P2.54mm_Vertical,152.0000,-114.7750,0.0,Top
U1,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,130.0000,-124.5000,0.0,Top
C1,100nF,C_0805_2012Metric,123.5000,-122.0000,90.0,Top
C2,10uF,C_0805_2012Metric,127.0000,-108.5000,90.0,Top
F1,500mA,Fuse_1206_3216Metric,118.0000,-117.5000,0.0,Top
D2,Blue,LED_0805_2012Metric,138.5000,-121.5000,0.0,Top
R1,5.1k,R_0805_2012Metric,113.0000,-114.5000,90.0,Top
D1,Green,LED_0805_2012Metric,123.0000,-106.5000,0.0,Top
