Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,20.0000mm,-14.0000mm,90.0,Top
R4,1k,R_0805_2012Metric,18.0000mm,-6.0000mm,0.0,Top
R5,1k,R_0805_2012Metric,29.0000mm,-6.0000mm,0.0,Top
R2,5.1k,R_0805_2012Metric,15.0000mm,-27.0000mm,0.0,Top
R1,5.1k,R_0805_2012Metric,15.0000mm,-13.0000mm,0.0,Top
C2,10uF,C_0805_2012Metric,32.0000mm,-14.0000mm,90.0,Top
R6,1k,R_0805_2012Metric,40.0000mm,-6.0000mm,0.0,Top
D1,CHRG_RED,LED_0805_2012Metric,23.0000mm,-6.0000mm,0.0,Top
R3,1.2k,R_0805_2012Metric,26.0000mm,-28.0000mm,0.0,Top
J2,LiPo_BAT,PinHeader_1x02_P2.54mm_Vertical,48.0000mm,-14.0000mm,0.0,Top
U1,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,26.0000mm,-20.0000mm,0.0,Top
D3,PWR_3V3_BLU,LED_0805_2012Metric,45.0000mm,-6.0000mm,0.0,Top
D2,STDBY_GRN,LED_0805_2012Metric,34.0000mm,-6.0000mm,0.0,Top
J1,USB_C_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,8.0000mm,-20.0000mm,0.0,Top
C3,10uF,C_0805_2012Metric,38.0000mm,-30.0000mm,90.0,Top
J3,Power_Out,PinHeader_1x04_P2.54mm_Vertical,48.0000mm,-28.0000mm,0.0,Top
U2,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,38.0000mm,-20.0000mm,0.0,Top
